Designator,Footprint,Quantity,Value,LCSC Part #
"_20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,20,,
"U2, U4",7Seg SMD 0.8in Single,2,SMD 0.8in,
