3V3:1
5V:1
A:1
B:1
B+:1
B-:1
BAT:1
BMS:1
BOOT:1
BUZZER A:1
BUZZER B:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
CELL:1
D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
DRV:1
ESP32:1
G:1
G***:6
GND:6
H1:1
H2:1
H3:1
H4:1
H5:1
H6:1
H7:1
H8:1
J1:1
LDO:2
PWR:1
Q1:1
Q2:1
Q3:1
Q4:1
Q5:1
Q6:1
Q7:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R3:1
R30:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
RST:1
RTC:1
RTC_RST:1
TP:1
TX:1
U2:1
U3:1
U4:1
VCC:2
