1:1
2:1
3:1
4:1
A1:1
C1:1
C2:1
C3:1
C4:1
C5:1
D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
DT1:1
DT2:1
DT3:1
G***:5
GND:1
H1:1
H2:1
H3:1
H4:1
LDO:1
Q1:1
Q2:1
Q3:1
Q4:1
Q5:1
Q6:1
Q7:1
Q8:1
R1:1
R10:1
R11:1
R12:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
SW1:1
U1:1
U10:1
U11:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
VCC:1
